transaction_id,amount,transaction_type,card_type,location,time_of_day,day_of_week,transaction_hour,previous_fraud_attempts,account_age_days,device_trust_score,is_fraud
TXN-0020,473.1854369498993,online,Amex,London,late_night,Friday,6,1,495,36,0.0
TXN-0021,75.11726436366934,online,Amex,Tokyo,morning,Monday,19,0,29,51,0.0
TXN-0022,172.75775600120113,atm,Mastercard,Sydney,afternoon,Sunday,22,1,752,59,0.0
TXN-0023,228.13860911042352,in_store,Visa,New York,morning,Wednesday,17,0,642,42,0.0
TXN-0024,304.4673439298875,in_store,Visa,Sydney,afternoon,Monday,10,3,88,75,0.0
TXN-0025,768.968005515456,online,Mastercard,London,late_night,Friday,18,0,604,25,0.0
TXN-0026,111.36793106434514,online,Amex,Berlin,late_night,Wednesday,4,0,563,69,0.0
TXN-0027,361.01457751656386,online,Discover,London,late_night,Wednesday,18,0,365,56,0.0
TXN-0028,448.7523606548803,online,Mastercard,Berlin,late_night,Monday,10,1,170,83,0.0
TXN-0029,23.781924878204272,in_store,Discover,Singapore,afternoon,Friday,23,1,115,73,0.0
TXN-0030,467.6665103248051,in_store,Amex,Singapore,evening,Thursday,11,0,96,91,0.0
TXN-0031,93.48062598870821,atm,Visa,Berlin,afternoon,Friday,9,0,140,68,0.0
TXN-0032,33.63196543965212,atm,Amex,Tokyo,morning,Tuesday,7,1,853,30,0.0
TXN-0033,1486.8438967534653,online,Mastercard,Sydney,late_night,Sunday,23,1,29,68,0.0
TXN-0034,1685.3151712305862,in_store,Visa,New York,late_night,Saturday,8,0,644,40,0.0
TXN-0035,826.1657864064383,atm,Mastercard,New York,morning,Thursday,3,0,156,85,0.0
TXN-0036,181.64392998437916,in_store,Mastercard,Paris,afternoon,Wednesday,4,1,269,82,0.0
TXN-0037,51.38865750125312,online,Amex,Berlin,evening,Thursday,20,1,577,47,0.0
TXN-0038,576.3753815493309,online,Mastercard,New York,evening,Sunday,7,1,787,36,0.0
TXN-0039,290.0454212926992,online,Amex,Tokyo,morning,Wednesday,22,0,154,25,0.0
TXN-0040,65.07611697722432,atm,Visa,Berlin,evening,Sunday,8,0,226,38,0.0
TXN-0041,341.7736140670751,in_store,Amex,Tokyo,afternoon,Wednesday,14,1,195,75,0.0
TXN-0042,17.49686072173954,online,Visa,New York,afternoon,Thursday,14,1,4,47,0.0
TXN-0043,1200.2114436965119,in_store,Amex,New York,morning,Wednesday,15,1,128,85,0.0
TXN-0044,149.72888842034305,in_store,Discover,Paris,afternoon,Wednesday,13,1,224,57,0.0
TXN-0045,543.1278992824901,online,Discover,New York,late_night,Tuesday,7,0,193,56,0.0
TXN-0046,186.77329082881184,online,Mastercard,Berlin,morning,Friday,17,0,467,87,0.0
TXN-0047,367.0554479546143,in_store,Amex,Singapore,afternoon,Friday,9,0,177,68,0.0
TXN-0048,395.6118989908988,online,Amex,Berlin,morning,Saturday,19,0,245,62,0.0
TXN-0049,102.19429975395288,in_store,Visa,Berlin,evening,Saturday,5,0,204,55,0.0
TXN-0050,1746.4035663681132,online,Mastercard,Paris,afternoon,Tuesday,11,1,492,77,0.0
TXN-0051,746.1226885690704,in_store,Amex,Paris,late_night,Saturday,1,0,725,32,0.0
TXN-0052,1402.547209645791,online,Mastercard,New York,afternoon,Sunday,6,1,277,71,0.0
TXN-0053,1126.0759987670983,online,Discover,London,morning,Thursday,15,0,568,77,0.0
TXN-0054,455.5272061916375,in_store,Amex,London,morning,Monday,2,2,128,51,0.0
TXN-0055,1274.7176896347025,online,Amex,Paris,afternoon,Sunday,12,0,284,79,0.0
TXN-0056,46.32772947655781,online,Mastercard,New York,late_night,Monday,2,1,154,77,0.0
TXN-0057,109.06734731563373,online,Amex,London,late_night,Monday,17,0,195,75,0.0
TXN-0058,23.140982843415976,in_store,Mastercard,New York,late_night,Tuesday,10,0,481,47,0.0
TXN-0059,196.7660434015434,in_store,Amex,New York,morning,Sunday,7,0,778,20,0.0
TXN-0060,246.0651458971093,in_store,Visa,New York,afternoon,Tuesday,5,0,47,61,0.0
TXN-0061,158.28022160441284,online,Mastercard,Sydney,evening,Wednesday,0,0,367,67,0.0
TXN-0062,882.278932620467,online,Amex,Berlin,morning,Monday,0,0,318,59,0.0
TXN-0063,220.61349976493509,online,Discover,New York,late_night,Thursday,22,1,46,82,0.0
TXN-0064,164.9014200671246,online,Amex,Sydney,afternoon,Saturday,7,2,86,95,0.0
TXN-0065,391.203541603873,online,Discover,Paris,late_night,Thursday,4,0,135,91,0.0
TXN-0066,75.94907391031443,online,Discover,London,evening,Saturday,15,0,66,99,0.0
TXN-0067,810.2417978873656,online,Visa,Berlin,late_night,Monday,10,0,101,23,1.0
TXN-0068,38.73793440565451,atm,Mastercard,Singapore,late_night,Monday,4,1,113,57,0.0
TXN-0069,2167.07316979366,online,Amex,London,evening,Monday,3,1,149,46,0.0
TXN-0070,739.7418881207557,online,Visa,Berlin,afternoon,Tuesday,5,0,505,28,1.0
TXN-0071,110.76972025294297,in_store,Amex,Singapore,morning,Sunday,13,1,309,35,0.0
TXN-0072,2.7687101879677374,online,Discover,London,afternoon,Saturday,21,0,1564,75,0.0
TXN-0073,844.948388743063,in_store,Mastercard,Berlin,evening,Sunday,18,0,195,95,0.0
TXN-0074,613.5479536935223,in_store,Amex,London,late_night,Tuesday,8,0,511,50,0.0
TXN-0075,652.8314543939995,atm,Amex,London,afternoon,Tuesday,11,0,748,33,0.0
TXN-0076,737.6072630217567,online,Discover,Singapore,morning,Friday,10,1,414,44,0.0
TXN-0077,38.464632756898176,atm,Amex,London,evening,Thursday,13,1,193,53,0.0
TXN-0078,221.94633620811624,online,Amex,London,afternoon,Thursday,22,1,511,86,0.0
TXN-0079,61.575052302224826,online,Discover,Singapore,morning,Wednesday,15,1,83,43,0.0
TXN-0080,994.2647858291114,online,Visa,Paris,evening,Tuesday,0,1,144,92,0.0
TXN-0081,488.150595856187,atm,Discover,New York,morning,Saturday,12,1,288,45,0.0
TXN-0082,200.9094006256505,online,Visa,Tokyo,evening,Friday,22,1,312,39,0.0
TXN-0083,32.83403290239144,online,Mastercard,Sydney,late_night,Friday,20,2,8,83,1.0
TXN-0084,186.24417520517687,in_store,Visa,Tokyo,afternoon,Sunday,20,1,1059,29,0.0
TXN-0085,196.65710659206567,online,Visa,Tokyo,morning,Thursday,12,0,435,86,0.0
TXN-0086,653.9378919788704,online,Mastercard,Berlin,evening,Tuesday,1,0,249,43,0.0
TXN-0087,507.44467946300995,online,Visa,New York,morning,Wednesday,3,0,987,24,0.0
TXN-0088,1091.1259562007574,online,Discover,Berlin,morning,Tuesday,5,1,211,86,0.0
TXN-0089,319.5330666881549,online,Visa,New York,afternoon,Sunday,22,0,1435,77,0.0
TXN-0090,63.68619680775095,online,Mastercard,Singapore,late_night,Monday,4,3,262,46,0.0
TXN-0091,624.5631721582997,in_store,Discover,Singapore,morning,Tuesday,2,1,44,99,0.0
TXN-0092,715.196376538432,online,Mastercard,New York,evening,Sunday,0,0,528,34,0.0
TXN-0093,411.9437474429144,online,Mastercard,London,evening,Monday,3,1,414,54,0.0
TXN-0094,736.9449833606823,in_store,Amex,Paris,late_night,Monday,19,1,541,95,0.0
TXN-0095,340.407365755139,online,Amex,London,evening,Wednesday,1,0,1104,72,0.0
TXN-0096,369.83941938863353,in_store,Mastercard,Paris,late_night,Saturday,4,0,546,63,0.0
TXN-0097,278.90709695421367,online,Mastercard,Berlin,evening,Thursday,2,1,344,45,0.0
TXN-0098,12.873886995056864,online,Mastercard,Paris,afternoon,Tuesday,8,1,710,66,0.0
TXN-0099,57.08371759593292,online,Amex,Berlin,morning,Monday,19,0,408,53,0.0
TXN-0100,15.966840646526911,online,Amex,Singapore,afternoon,Tuesday,5,1,191,69,0.0
TXN-0101,505.8647754637747,online,Visa,Tokyo,morning,Saturday,17,0,791,31,0.0
TXN-0102,188.69835439754993,online,Visa,Singapore,morning,Thursday,5,1,91,23,0.0
TXN-0103,355.218588567095,online,Mastercard,Singapore,morning,Saturday,18,0,457,67,0.0
TXN-0104,1190.6327649229877,online,Discover,Tokyo,afternoon,Thursday,11,0,778,74,0.0
TXN-0105,143.36941149164917,online,Discover,Paris,morning,Friday,10,1,479,20,0.0
TXN-0106,264.1409874413363,online,Amex,Paris,afternoon,Thursday,1,0,436,85,0.0
TXN-0107,704.3745737692917,online,Amex,Berlin,late_night,Wednesday,14,1,509,49,0.0
TXN-0108,129.902578458697,online,Amex,London,evening,Saturday,11,0,228,22,0.0
TXN-0109,40.05213927508818,in_store,Mastercard,Berlin,evening,Monday,11,0,756,40,0.0
TXN-0110,171.07015194352854,online,Discover,London,morning,Friday,8,0,83,68,0.0
TXN-0111,87.90417925003142,in_store,Visa,Singapore,afternoon,Wednesday,20,0,49,81,0.0
TXN-0112,1327.4750429403123,in_store,Mastercard,Tokyo,evening,Tuesday,23,0,122,57,0.0
TXN-0113,825.4435402422847,online,Visa,Singapore,afternoon,Saturday,1,1,276,34,0.0
TXN-0114,501.7470952602655,in_store,Visa,New York,afternoon,Sunday,21,0,260,71,0.0
TXN-0115,1025.7598652604065,atm,Mastercard,Paris,morning,Sunday,2,0,627,98,0.0
TXN-0116,813.9844703702782,online,Visa,London,evening,Monday,11,0,189,65,0.0
TXN-0117,103.24773817931954,online,Discover,Berlin,morning,Thursday,15,0,241,44,0.0
TXN-0118,1115.4067026177804,in_store,Visa,Tokyo,morning,Monday,20,1,4,40,0.0
TXN-0119,387.549950983086,in_store,Discover,London,evening,Sunday,23,2,192,24,0.0
TXN-0120,823.6741456517831,online,Discover,Berlin,evening,Tuesday,0,1,380,89,0.0
TXN-0121,1132.1213246431157,online,Discover,Paris,late_night,Friday,20,1,5,66,0.0
TXN-0122,191.36535820915924,online,Amex,Singapore,late_night,Friday,2,0,120,87,0.0
TXN-0123,58.296080061925416,online,Visa,Paris,afternoon,Saturday,19,0,85,37,1.0
TXN-0124,129.34337306969067,in_store,Mastercard,Sydney,evening,Friday,1,0,15,40,0.0
TXN-0125,278.5288463743072,online,Mastercard,New York,late_night,Saturday,8,0,238,42,0.0
TXN-0126,851.9148633194725,online,Visa,Sydney,afternoon,Saturday,18,0,73,83,0.0
TXN-0127,985.6724859399167,in_store,Amex,Tokyo,afternoon,Saturday,14,0,496,86,0.0
TXN-0128,3.4882045908253234,online,Amex,London,afternoon,Sunday,17,2,687,59,0.0
TXN-0129,357.4380796692779,online,Discover,Tokyo,late_night,Sunday,10,0,287,29,1.0
TXN-0130,270.13666045933564,in_store,Visa,Singapore,evening,Thursday,22,2,1460,71,0.0
TXN-0131,125.58366913791225,in_store,Visa,Berlin,morning,Wednesday,15,0,218,91,0.0
TXN-0132,63.84019577282341,online,Mastercard,Paris,afternoon,Saturday,21,0,262,94,0.0
TXN-0133,205.95428993121624,online,Visa,Sydney,late_night,Saturday,16,0,1653,80,0.0
TXN-0134,1431.5605613455748,online,Amex,Sydney,late_night,Wednesday,4,0,96,83,0.0
TXN-0135,195.1919014407372,online,Visa,Singapore,morning,Monday,11,1,1042,24,0.0
TXN-0136,365.72640288007597,online,Mastercard,Sydney,morning,Saturday,10,0,15,72,1.0
TXN-0137,607.0434884404274,online,Discover,Singapore,late_night,Thursday,14,1,215,74,0.0
TXN-0138,225.98724948348118,online,Mastercard,Tokyo,evening,Friday,2,0,26,56,0.0
TXN-0139,1783.8990691458498,online,Mastercard,Paris,morning,Friday,0,0,476,75,0.0
TXN-0140,1641.004932270699,online,Discover,London,late_night,Tuesday,19,1,342,78,0.0
TXN-0141,145.03064749610263,online,Mastercard,Berlin,morning,Tuesday,15,2,447,88,0.0
TXN-0142,343.82963923192364,online,Mastercard,London,evening,Friday,1,0,171,92,0.0
TXN-0143,178.9652300395234,online,Visa,Tokyo,afternoon,Friday,1,1,168,78,0.0
TXN-0144,167.62483819054086,online,Visa,Berlin,morning,Sunday,2,2,16,21,0.0
TXN-0145,18.792238882761268,in_store,Discover,Sydney,evening,Thursday,7,0,157,84,0.0
TXN-0146,470.24603549129654,online,Visa,New York,late_night,Wednesday,23,2,966,79,0.0
TXN-0147,349.2598164148192,in_store,Visa,Tokyo,morning,Tuesday,14,0,174,70,0.0
TXN-0148,26.42554369019624,in_store,Mastercard,Tokyo,morning,Sunday,6,0,649,49,0.0
TXN-0149,163.3129605051847,online,Amex,Paris,late_night,Sunday,5,2,674,30,0.0
TXN-0150,1194.4304755446701,online,Visa,London,afternoon,Wednesday,8,0,170,95,0.0
TXN-0151,136.93027607103852,online,Amex,Tokyo,late_night,Sunday,19,0,364,58,0.0
TXN-0152,78.26543049273488,online,Visa,Tokyo,morning,Thursday,0,1,36,96,0.0
TXN-0153,336.1360547368181,in_store,Visa,Sydney,late_night,Friday,7,0,39,91,0.0
TXN-0154,2122.01849130763,online,Discover,Sydney,evening,Saturday,22,0,18,82,0.0
TXN-0155,138.5724067798631,online,Discover,Berlin,late_night,Wednesday,22,2,317,83,0.0
TXN-0156,557.5775051486467,online,Discover,Singapore,morning,Friday,2,0,202,80,0.0
TXN-0157,716.9438131197314,online,Amex,Singapore,late_night,Friday,3,2,289,73,0.0
TXN-0158,135.6665861679029,in_store,Mastercard,New York,afternoon,Monday,14,0,268,92,0.0
TXN-0159,651.374464246158,online,Visa,Singapore,late_night,Wednesday,5,0,157,77,0.0
TXN-0160,229.261399632152,online,Visa,Paris,afternoon,Sunday,14,1,413,75,0.0
TXN-0161,500.25187386588567,atm,Visa,New York,evening,Saturday,20,0,518,53,0.0
TXN-0162,501.9189135688191,in_store,Amex,Berlin,afternoon,Wednesday,2,1,5,50,0.0
TXN-0163,383.6926249761744,online,Discover,Sydney,late_night,Sunday,20,0,84,71,0.0
TXN-0164,47.31457940581048,online,Mastercard,Singapore,morning,Friday,20,1,455,95,0.0
TXN-0165,901.8223971231484,online,Amex,London,afternoon,Saturday,13,0,178,20,0.0
TXN-0166,193.4051468336983,online,Discover,Sydney,evening,Sunday,19,0,396,74,0.0
TXN-0167,103.21605330377827,online,Amex,Paris,afternoon,Thursday,13,1,155,41,0.0
TXN-0168,20.814879897172602,online,Mastercard,Sydney,afternoon,Sunday,3,2,180,59,0.0
TXN-0169,446.8892022972917,online,Discover,Paris,afternoon,Monday,11,1,63,20,0.0
TXN-0170,565.9258671336744,online,Amex,Paris,evening,Friday,16,0,109,84,0.0
TXN-0171,8.36347377923531,in_store,Mastercard,Paris,late_night,Sunday,6,0,339,82,0.0
TXN-0172,358.8152922747442,online,Visa,Berlin,afternoon,Tuesday,8,1,207,73,0.0
TXN-0173,128.41207352747884,online,Mastercard,Paris,afternoon,Tuesday,2,2,543,61,0.0
TXN-0174,518.062170773846,online,Visa,Paris,morning,Monday,12,1,698,40,0.0
TXN-0175,95.80211126956688,atm,Amex,London,evening,Thursday,14,0,284,98,0.0
TXN-0176,587.1062637838595,online,Discover,New York,afternoon,Friday,17,0,518,41,0.0
TXN-0177,244.4793504905509,online,Discover,Tokyo,evening,Wednesday,18,0,133,57,0.0
TXN-0178,1380.1719089021535,atm,Amex,New York,afternoon,Monday,0,1,195,99,0.0
TXN-0179,73.97220671963947,in_store,Discover,Paris,late_night,Thursday,5,1,455,27,0.0
TXN-0180,208.56621699758588,in_store,Discover,London,late_night,Wednesday,22,0,178,81,0.0
TXN-0181,60.22214251849821,online,Visa,Sydney,afternoon,Tuesday,1,1,324,66,0.0
TXN-0182,1293.0951985753618,online,Amex,London,late_night,Tuesday,23,2,74,36,0.0
TXN-0183,1049.166853580497,in_store,Mastercard,Paris,afternoon,Wednesday,13,1,334,36,0.0
TXN-0184,149.16368503074446,atm,Visa,London,late_night,Monday,5,1,721,32,0.0
TXN-0185,539.3813695219573,online,Amex,Singapore,morning,Tuesday,13,1,740,36,0.0
TXN-0186,849.7420363196106,online,Visa,London,morning,Friday,3,2,470,57,0.0
TXN-0187,405.066180343254,online,Mastercard,Paris,morning,Saturday,20,0,499,97,0.0
TXN-0188,377.13970509697305,in_store,Mastercard,Berlin,evening,Sunday,7,1,297,64,0.0
TXN-0189,138.43852271895156,online,Amex,Singapore,evening,Wednesday,2,0,320,25,0.0
TXN-0190,48.86307023747037,online,Mastercard,London,morning,Wednesday,18,0,52,54,0.0
TXN-0191,1137.5616125972615,online,Visa,Tokyo,evening,Tuesday,13,0,214,33,0.0
TXN-0192,1153.3872138242134,online,Mastercard,Tokyo,late_night,Monday,19,1,218,91,0.0
TXN-0193,501.3349597414424,online,Visa,London,afternoon,Friday,16,0,1161,80,0.0
TXN-0194,207.02325490566196,online,Visa,Berlin,afternoon,Monday,7,0,205,34,1.0
TXN-0195,214.78380790582196,in_store,Mastercard,Sydney,afternoon,Thursday,23,0,290,73,0.0
TXN-0196,647.2327148635591,online,Amex,Paris,morning,Thursday,13,0,278,46,0.0
TXN-0197,1137.0486745536261,online,Discover,Tokyo,evening,Saturday,5,0,369,32,0.0
TXN-0198,1090.5662846983066,online,Mastercard,Sydney,late_night,Tuesday,22,0,503,50,0.0
TXN-0199,756.7810959654516,online,Visa,London,late_night,Tuesday,21,0,93,54,0.0
TXN-0200,513.6553467838525,online,Visa,Sydney,morning,Tuesday,15,1,274,79,0.0
TXN-0201,43.945863098042025,online,Mastercard,Singapore,late_night,Saturday,18,1,638,25,0.0
TXN-0202,88.14710734170575,online,Amex,New York,late_night,Thursday,13,0,227,88,0.0
TXN-0203,1144.1152500887529,online,Amex,Tokyo,late_night,Monday,18,1,119,77,0.0
TXN-0204,466.2469734827948,online,Visa,London,late_night,Saturday,2,1,388,68,0.0
TXN-0205,4.619802805497205,atm,Visa,Paris,evening,Saturday,9,0,633,42,0.0
TXN-0206,53.49845071797466,online,Amex,Berlin,late_night,Monday,18,1,23,53,0.0
TXN-0207,544.5811936451205,in_store,Discover,Singapore,afternoon,Tuesday,8,0,547,45,0.0
TXN-0208,2.5372185258985014,online,Mastercard,London,morning,Friday,19,0,629,66,0.0
TXN-0209,87.65790805209953,in_store,Visa,Paris,evening,Monday,12,0,225,24,1.0
TXN-0210,397.84892306946585,in_store,Visa,Berlin,late_night,Thursday,6,2,1493,39,1.0
TXN-0211,588.6576433274063,online,Amex,Berlin,evening,Wednesday,13,0,563,25,0.0
TXN-0212,527.7207410676243,online,Mastercard,London,late_night,Wednesday,8,0,542,89,0.0
TXN-0213,126.97493365401225,online,Amex,Singapore,afternoon,Sunday,22,0,502,78,0.0
TXN-0214,622.7086444492694,online,Mastercard,Sydney,morning,Sunday,18,1,59,83,0.0
TXN-0215,135.41187952640297,atm,Mastercard,Sydney,late_night,Saturday,14,1,89,37,1.0
TXN-0216,196.8174544590422,in_store,Mastercard,Berlin,late_night,Wednesday,19,0,227,23,0.0
TXN-0217,686.1787758328953,atm,Visa,Sydney,late_night,Friday,13,1,111,36,0.0
TXN-0218,524.386907151384,online,Discover,New York,late_night,Tuesday,23,0,195,33,0.0
TXN-0219,945.9780387317005,in_store,Amex,Berlin,morning,Thursday,5,1,800,97,0.0
TXN-0220,535.9066440848812,atm,Discover,Berlin,morning,Sunday,20,1,634,32,0.0
TXN-0221,420.0221527936287,online,Amex,Paris,afternoon,Friday,3,2,362,26,0.0
TXN-0222,49.178530724205245,online,Mastercard,Sydney,morning,Thursday,7,0,712,63,0.0
TXN-0223,229.20815360351003,in_store,Visa,Singapore,late_night,Thursday,16,1,558,34,0.0
TXN-0224,154.0800739294156,online,Discover,Berlin,afternoon,Tuesday,8,1,204,38,0.0
TXN-0225,139.85010183121062,in_store,Visa,Singapore,afternoon,Saturday,0,1,81,82,0.0
TXN-0226,1806.154703081463,online,Amex,New York,afternoon,Wednesday,23,1,263,54,0.0
TXN-0227,249.6937485200119,in_store,Visa,Paris,late_night,Tuesday,19,1,486,54,0.0
TXN-0228,1113.0276056242615,online,Visa,London,evening,Friday,13,0,209,38,0.0
TXN-0229,498.66719286824156,online,Discover,Singapore,late_night,Saturday,10,1,401,39,0.0
TXN-0230,791.9126263441999,online,Mastercard,Berlin,morning,Friday,20,1,36,54,0.0
TXN-0231,349.21766219438524,in_store,Visa,New York,morning,Saturday,2,0,503,51,0.0
TXN-0232,430.0779513207925,in_store,Mastercard,Tokyo,late_night,Sunday,8,0,611,67,0.0
TXN-0233,339.14671667084673,online,Amex,New York,late_night,Friday,13,0,447,63,0.0
TXN-0234,108.60744766261925,online,Visa,New York,afternoon,Tuesday,8,0,1248,43,0.0
TXN-0235,640.8809015329019,in_store,Discover,Paris,late_night,Saturday,3,1,639,80,0.0
TXN-0236,164.78868418313147,online,Amex,London,afternoon,Saturday,3,2,851,36,0.0
TXN-0237,12.308240540344308,in_store,Amex,Tokyo,morning,Thursday,7,2,989,90,0.0
TXN-0238,518.484393147637,online,Discover,Sydney,afternoon,Thursday,1,0,589,69,0.0
TXN-0239,97.46678511241134,online,Visa,Sydney,late_night,Monday,8,0,409,84,0.0
TXN-0240,1410.5415736366515,online,Visa,Singapore,morning,Friday,13,0,2,51,0.0
TXN-0241,1538.7812063940116,online,Amex,New York,evening,Thursday,21,1,228,55,0.0
TXN-0242,1231.7549423169207,in_store,Visa,Paris,afternoon,Monday,8,1,309,32,0.0
TXN-0243,231.14369824868336,online,Mastercard,Paris,morning,Sunday,23,0,132,89,0.0
TXN-0244,7.788657685972192,online,Discover,Sydney,afternoon,Sunday,22,1,139,77,0.0
TXN-0245,1317.761728665945,in_store,Mastercard,Singapore,morning,Thursday,15,0,1185,33,0.0
TXN-0246,279.4691385265307,online,Visa,Singapore,morning,Friday,16,1,811,56,0.0
TXN-0247,1700.421008061028,online,Amex,Singapore,afternoon,Saturday,15,1,690,98,0.0
TXN-0248,1656.8677380651027,atm,Discover,Tokyo,evening,Wednesday,11,0,190,87,0.0
TXN-0249,958.6935085897095,in_store,Visa,London,morning,Friday,2,1,5,59,0.0
TXN-0250,174.38803408608015,online,Visa,Tokyo,morning,Tuesday,10,0,30,78,0.0
TXN-0251,243.14596604934678,atm,Amex,Berlin,morning,Sunday,13,0,136,99,0.0
TXN-0252,952.3633262390399,in_store,Amex,Berlin,evening,Thursday,17,1,5,35,0.0
TXN-0253,190.57311571535854,online,Mastercard,London,evening,Thursday,20,0,6,81,0.0
TXN-0254,92.85930814787739,online,Discover,Sydney,late_night,Saturday,20,0,906,23,1.0
TXN-0255,406.8684960301139,in_store,Discover,London,afternoon,Tuesday,4,0,447,64,0.0
TXN-0256,1375.6467354035208,in_store,Amex,Paris,evening,Saturday,15,2,134,47,0.0
TXN-0257,595.4127988789686,online,Mastercard,Berlin,afternoon,Tuesday,19,1,51,85,0.0
TXN-0258,422.05616821782775,in_store,Discover,New York,late_night,Wednesday,4,2,261,50,0.0
TXN-0259,51.11409867466144,in_store,Amex,New York,afternoon,Sunday,2,2,1,22,0.0
TXN-0260,477.26535775885884,online,Visa,Sydney,evening,Thursday,11,0,1017,27,0.0
TXN-0261,2305.2848739231586,online,Discover,Paris,afternoon,Thursday,0,0,195,43,0.0
TXN-0262,75.46029332113207,online,Mastercard,Tokyo,evening,Wednesday,20,2,187,34,0.0
TXN-0263,365.24766249075185,in_store,Mastercard,Paris,afternoon,Monday,8,1,180,62,0.0
TXN-0264,1049.3043189503971,online,Mastercard,New York,evening,Sunday,8,2,26,50,0.0
TXN-0265,675.0171241768351,online,Visa,New York,evening,Saturday,3,0,371,92,0.0
TXN-0266,597.0372126508365,in_store,Discover,Berlin,afternoon,Wednesday,2,1,481,64,0.0
TXN-0267,606.143778112245,in_store,Discover,Paris,late_night,Saturday,16,1,411,85,0.0
TXN-0268,222.74617115747455,online,Visa,Paris,morning,Friday,1,0,54,27,0.0
TXN-0269,173.78104213354757,in_store,Discover,New York,late_night,Thursday,23,1,315,90,1.0
TXN-0270,828.6872536298562,online,Visa,Tokyo,afternoon,Saturday,0,0,307,76,0.0
TXN-0271,830.6640995435143,in_store,Visa,Sydney,late_night,Tuesday,7,0,740,99,0.0
TXN-0272,1008.9750236839574,online,Visa,Singapore,evening,Saturday,12,1,173,49,0.0
TXN-0273,1222.3079809183182,online,Mastercard,Sydney,morning,Friday,22,1,169,93,0.0
TXN-0274,358.04661846645183,in_store,Discover,Paris,afternoon,Sunday,14,2,351,37,0.0
TXN-0275,348.0921887755996,online,Visa,Sydney,afternoon,Thursday,7,0,365,88,0.0
TXN-0276,800.4749661542437,online,Discover,New York,afternoon,Wednesday,11,0,231,58,0.0
TXN-0277,524.8595374439001,in_store,Mastercard,New York,morning,Friday,21,1,213,79,0.0
TXN-0278,605.2753242557585,in_store,Visa,Paris,evening,Thursday,11,0,248,62,0.0
TXN-0279,794.3097374771024,in_store,Amex,Paris,afternoon,Saturday,13,0,720,64,0.0
TXN-0280,1103.6617381733836,in_store,Mastercard,Singapore,late_night,Sunday,14,0,225,42,0.0
TXN-0281,206.2412035688271,online,Amex,Singapore,afternoon,Monday,14,0,1026,88,0.0
TXN-0282,235.46839436377817,online,Discover,Berlin,afternoon,Sunday,8,2,255,25,0.0
TXN-0283,49.34801959368028,online,Discover,Paris,afternoon,Monday,18,0,1087,75,0.0
TXN-0284,431.70701330471735,online,Mastercard,Tokyo,afternoon,Tuesday,19,0,652,23,0.0
TXN-0285,18.302052105428498,atm,Discover,Sydney,evening,Sunday,21,4,164,42,0.0
TXN-0286,313.3034740910548,online,Amex,Paris,late_night,Thursday,7,2,727,25,0.0
TXN-0287,391.147292843563,online,Visa,London,evening,Monday,20,1,42,51,0.0
TXN-0288,168.81533015726126,online,Visa,Berlin,late_night,Wednesday,18,1,945,37,1.0
TXN-0289,446.81626507308766,atm,Visa,London,afternoon,Thursday,5,0,364,34,0.0
TXN-0290,15.487531050737273,online,Mastercard,New York,morning,Wednesday,19,1,20,59,1.0
TXN-0291,19.03174964139469,online,Discover,Singapore,evening,Sunday,18,0,377,92,0.0
